loc_rowid,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_angsep,pl_angseperr1,pl_angseperr2,pl_angseplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_dist,sy_disterr1,sy_disterr2
1,11 Com b,11 Com,2,1,0,0,Radial Velocity,323.21,0.06,-0.05,0,1.178,0,0,0,12.6,,,0,12.2,,,0,4914.89849,39.09289,-39.72855,0,14.9,,,0,0.238,0.007,-0.007,0,,,,,,,,,,,,,,,,,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,2.45,0.08,-0.08,0,,,,,1.2,1,-1,0,,,,,43.37,0.21,-0.21,0,93.1846,1.9238,-1.9238
2,11 UMi b,11 UMi,1,1,0,0,Radial Velocity,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,12.2,,,0,12.3,,,0,4684.8142,794.575,-794.575,0,13.8,,,0,0.08,0.03,-0.03,0,,,,,,,,,,,,,,,,,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,1.93,0.07,-0.07,0,,,,,1.5,,,0,,,,,-17.52,0.15,-0.15,0,125.321,1.9765,-1.9765
3,14 And b,14 And,1,1,0,0,Radial Velocity,186.76,0.11,-0.12,0,0.775,0,0,0,10.3,,,0,13.1,,,0,1131.1513,36.23244,-38.77507,0,2.76,,,0,0,,,0,,,,,,,,,,,,,,,,,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,2.55,0.06,-0.07,0,,,,,2.6,,,0,,,,,-59.73,0.31,-0.31,0,75.4392,0.714,-0.714
4,14 Her b,14 Her,1,2,0,0,Radial Velocity,1765.0389,1.67709,-1.87256,0,2.774,0.109,-0.12,0,155,,,0,12.6,,,0,2559.47216,518.69596,-280.64248,0,7.03,,,0,0.373,0.008,-0.006,0,2456834.4,1.7,-1.9,0,,,,,,,,,,,,,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,4.45,0.02,-0.02,0,1.27393,0.34953,-0.30728,0,1,,,1,,,,,-13.82,0,0,0,17.9323,0.0073,-0.0073
5,16 Cyg B b,16 Cyg B,3,1,0,0,Radial Velocity,798.5,1,-1,0,1.66,0.03,-0.03,0,78.5,,,0,13.5,,,0,565.7374,25.4264,-25.4264,0,1.26,,,0,0.68,0.02,-0.02,0,2456937.32,0.38,-0.38,0,,,,,,,,,,,,,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,4.36,0.01,-0.01,0,1.01103,0.29273,-0.20081,0,2.7,1,-1,0,,,,,-28.1,0.1,-0.1,0,21.1397,0.011,-0.0111
6,17 Sco b,17 Sco,1,1,0,0,Radial Velocity,578.38,2.01,-2.09,0,1.45,0.02,-0.02,0,11.6,,,0,12.9,,,0,1373.01872,47.67426,-38.13941,0,3.51,,,0,0.06,0.03,-0.02,0,,,,,,,,,,,,,,,,,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,1.7,0.04,-0.06,0,,,,,3.98,1.11,-1.11,0,329.49,92.4,-92.4,1,,,,,124.953,2.59,-2.59
7,18 Del b,18 Del,2,1,0,0,Radial Velocity,982.85,1.06,-0.92,0,2.476,0.002,-0.002,0,32.5,,,0,12.5,,,0,2926.24614,50.85255,-24.47279,0,8.23,,,0,0.024,0.007,-0.018,0,,,,,,,,,,,,,,,,,8.8,0.61,-0.4,0,2.1,0.13,-0.09,0,2.87,0.03,-0.05,0,,,,,,,,,,,,,4.35,0.15,-0.15,0,76.222,0.6217,-0.6217
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,0,Imaging,,,,,330,,,0,2370,,,0,18.647,,,0,3000,300,-300,0,2.54,,,0,,,,,,,,,,,,,,,,,,,,,1.31,0.18,-0.1,0,0.85,0.2,-0.1,0,4,0.14,-0.1,0,0.38789,0.18019,-0.10697,0,,,,,,,,,,,,,139.135,1.332,-1.307
9,24 Boo b,24 Boo,1,1,0,0,Radial Velocity,30.33,0,-0.01,0,0.194,0,0,0,2.02,,,0,13.9,,,0,280.64248,11.44182,-13.66662,0,0.574,,,0,0.032,0.039,-0.023,0,,,,,,,,,,,,,,,,,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,2.28,0.09,-0.07,0,,,,,3.36,,,0,,,,,-7.77,0.15,-0.15,0,95.9863,0.63685,-0.63685
10,24 Sex b,24 Sex,1,2,0,0,Radial Velocity,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,18.5,,,0,13.4,,,0,632.46,82.63,-120.77,0,1.44,,,0,0.09,0.14,-0.06,0,,,,,,,,,,,,,,,,,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0,3.5,0.1,-0.1,0,,,,,2.77,0.5,-0.5,0,,,,,7.29,0.18,-0.18,0,72.0691,0.6854,-0.6728
